0.000000000000000000e+00 1.493121060110625422e+03 1.300166666666666105e-05
2.000000000000000000e+00 1.057240516060858681e+03 2.841999999999999556e-05
4.000000000000000000e+00 1.238026638677759365e+03 2.728333333333333018e-05
6.000000000000000000e+00 1.085479427961326110e+03 3.904333333333333955e-05
8.000000000000000000e+00 1.166265550578225884e+03 3.902833333333334054e-05
1.000000000000000000e+01 1.063718339861792629e+03 4.571000000000000789e-05
1.200000000000000000e+01 7.778377958120263429e+02 4.641166666666666135e-05
1.400000000000000000e+01 6.752905850955939968e+02 4.683500000000000136e-05
1.600000000000000000e+01 6.060767077124937714e+02 4.209000000000000528e-05
1.800000000000000000e+01 7.368628303293935460e+02 3.882333333333333150e-05
2.000000000000000000e+01 1.617648952946294230e+03 3.183166666666666881e-05
2.200000000000000000e+01 3.265101742229860974e+03 2.145166666666666993e-05
2.400000000000000000e+01 3.645887864846761204e+03 2.059666666666666541e-05
2.600000000000000000e+01 3.543340654130328403e+03 2.974833333333334130e-05
2.800000000000000000e+01 3.457460110080561208e+03 4.030333333333333765e-05
3.000000000000000000e+01 3.621579566030794922e+03 4.456333333333334091e-05
3.200000000000000000e+01 3.569032355314362121e+03 5.146666666666666631e-05
3.400000000000000000e+01 3.549818477931261441e+03 5.371500000000001003e-05
3.600000000000000000e+01 3.463937933881495155e+03 5.607666666666666453e-05
3.800000000000000000e+01 3.478057389831728869e+03 5.360499999999999922e-05
4.000000000000000000e+01 3.492176845781962584e+03 5.690666666666666844e-05
4.200000000000000000e+01 3.556296301732196298e+03 5.333833333333334414e-05
4.400000000000000000e+01 3.470415757682429103e+03 5.105000000000000759e-05
4.600000000000000000e+01 3.501201880299329332e+03 4.415666666666666346e-05
4.800000000000000000e+01 3.365321336249563501e+03 3.321666666666666317e-05
5.000000000000000000e+01 2.796107458866463276e+03 1.983333333333333205e-05
5.200000000000000000e+01 1.726893581483363960e+03 2.210000000000000186e-05
5.400000000000000000e+01 1.041013037433596764e+03 2.258333333333333791e-05
5.600000000000000000e+01 9.551324933838304787e+02 2.547333333333333903e-05
5.800000000000000000e+01 6.025852826673972231e+02 2.966333333333333788e-05
6.000000000000000000e+01 3.833714052842979072e+02 3.446166666666666904e-05
6.200000000000000000e+01 9.749086123453162145e+01 3.972500000000001014e-05
6.400000000000000000e+01 1.161031718476442620e+01 4.097333333333333632e-05
6.600000000000000000e+01 -2.427022686500185955e+01 4.084500000000000619e-05
6.800000000000000000e+01 2.565158957518988245e+02 3.703666666666666386e-05
7.000000000000000000e+01 1.037302018368797690e+03 3.415166666666666692e-05
7.200000000000000000e+01 2.668088140985699283e+03 3.308000000000000854e-05
7.400000000000000000e+01 2.465540930269265118e+03 3.754333333333334375e-05
7.600000000000000000e+01 2.362993719552832772e+03 4.305500000000000706e-05
7.800000000000000000e+01 2.393779842169732547e+03 5.262166666666667813e-05
8.000000000000000000e+01 2.224565964786632321e+03 5.471333333333333691e-05
8.200000000000000000e+01 2.305352087403533915e+03 5.522500000000000065e-05
8.400000000000000000e+01 2.186138210020432780e+03 5.762500000000000478e-05
8.600000000000000000e+01 2.083590999304000434e+03 5.692999999999999873e-05
